timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643302724084,283,Login-page,502,Bad Gateway,CDI-J&J 1-357,text,false,,300,132,385,385,https://staging.jnjonc2022.com/login,283,0,139
1643302723981,388,Login-page,502,Bad Gateway,CDI-J&J 1-347,text,false,,300,132,385,385,https://staging.jnjonc2022.com/login,388,0,227
1643302723990,380,Login-page,502,Bad Gateway,CDI-J&J 1-348,text,false,,300,132,386,386,https://staging.jnjonc2022.com/login,380,0,233
1643302724060,315,Login-page,502,Bad Gateway,CDI-J&J 1-355,text,false,,300,132,386,386,https://staging.jnjonc2022.com/login,315,0,163
1643302724030,350,Login-page,502,Bad Gateway,CDI-J&J 1-352,text,false,,300,132,387,387,https://staging.jnjonc2022.com/login,350,0,178
1643302724247,136,Home,502,Bad Gateway,CDI-J&J 1-196,text,false,,300,265,387,387,https://staging.jnjonc2022.com/login,136,0,0
1643302724247,136,Home,502,Bad Gateway,CDI-J&J 1-29,text,false,,300,265,387,387,https://staging.jnjonc2022.com/login,136,0,0
1643302724251,132,Home,502,Bad Gateway,CDI-J&J 1-257,text,false,,300,265,387,387,https://staging.jnjonc2022.com/login,132,0,0
1643302724249,134,Home,502,Bad Gateway,CDI-J&J 1-316,text,false,,300,265,387,387,https://staging.jnjonc2022.com/login,134,0,0
1643302724243,140,Home,502,Bad Gateway,CDI-J&J 1-173,text,false,,300,265,387,387,https://staging.jnjonc2022.com/login,140,0,0
1643302724246,137,Home,502,Bad Gateway,CDI-J&J 1-294,text,false,,300,265,387,387,https://staging.jnjonc2022.com/login,137,0,0
